颊 頰
雳 靂
暂 暫
翘 翹
辈 輩
凿 鑿
辉 輝
赏 賞
睐 睞
喷 噴
畴 疇
践 踐
遗 遺
鹃 鵑
赋 賦
赌 賭
赎 贖
赐 賜
赔 賠
铸 鑄
铺 鋪
链 鏈
销 銷
锁 鎖
锄 鋤
锅 鍋
锈 銹
锋 鋒
锌 鋅
锐 銳
鹅 鵝
筑 築
筛 篩
储 儲
惩 懲
御 禦
释 釋
腊 臘
鲁 魯
备 憊
馈 饋
馋 饞
装 裝
蛮 蠻
阔 闊
粪 糞
滞 滯
湿 濕
溃 潰
溅 濺
湾 灣
愤 憤
窜 竄
窝 窩
裤 褲
禅 禪
谢 謝
谣 謠
谤 謗
谦 謙
属 屬
屡 屢
缅 緬
缆 纜
缉 緝
缎 緞
缓 緩
缔 締
缕 縷
骗 騙
编 編
骚 騷
缘 緣
鹉 鵡
摄 攝
摆 擺 襬
摊 攤
鹊 鵲
蓝 藍
蒙 濛 懞 矇
献 獻
榄 欖
楼 樓
赖 賴
碍 礙
尴 尷
雾 霧
辐 輻
辑 輯
输 輸
频 頻
龄 齡
鉴 鑒
跷 磽
蜗 蝸
错 錯
锚 錨
锡 錫
锣 鑼
锤 錘
锥 錐
锦 錦
键 鍵
锯 鋸
锰 錳
辞 辭
颓 頹
筹 籌
签 簽 籤
简 簡
腻 膩
鹏 鵬
腾 騰
鲍 鮑
颖 穎
触 觸
雏 雛
馍 饃
馏 餾
酱 醬
誊 謄
粮 糧
数 數
满 滿
滤 濾
滥 濫
漓 灕
滨 濱
滩 灘
誉 譽
窥 窺
寝 寢
谨 謹
谬 謬
辟 闢
缚 縛
缝 縫
缠 纏
缤 繽
赘 贅
墙 墻
蔑 衊
蔼 藹
槛 檻
酿 釀
愿 願
辖 轄
辗 輾
颗 顆
踊 踴
蜡 臘
蝇 蠅
蝉 蟬
赚 賺
锹 鍬
锻 鍛
镀 鍍
稳 穩
箩 籮
箫 簫
舆 輿
鲜 鮮
馒 饅
潇 瀟
赛 賽
谭 譚
谱 譜
骡 騾
缩 縮
撵 攆
聪 聰
蕴 蘊
樱 櫻
飘 飄
霉 黴
瞒 瞞
题 題
嘱 囑
镇 鎮
镐 鎬
镑 鎊
篓 簍
鲤 鯉
鲫 鯽
瘪 癟
瘫 癱
颜 顏
鲨 鯊
澜 瀾
额 額
谴 譴
鹤 鶴
缭 繚
颠 顛
辙 轍
鹦 鸚
赠 贈
镜 鏡
赞 贊
篮 籃
篱 籬
鲸 鯨
瘾 癮
辩 辯
濒 瀕
懒 懶
缰 繮
缴 繳
瞩 矚
赡 贍
鳄 鰐
辫 辮
赢 贏
骤 驟
嚣 囂
镰 鐮
鳍 鰭
鹰 鷹
巅 巅
颤 顫
癣 癬
鳖 鱉
鬓 鬢
躏 躪
赣 贛
镶 鑲
韦 韋
闩 閂
讣 訃
劢 勱
刍 芻
邝 鄺
讦 訐
讧 訌
讪 訕
讫 訖
驭 馭
玑 璣
圹 壙
扪 捫
芗 薌
厍 厙
钇 釔
伛 傴
伥 倀
伧 傖
犷 獷
犸 獁
凫 鳧
邬 鄔
饧 餳
忏 懺
讴 謳
讵 詎
讷 訥
纡 紆
纣 紂
纥 紇
纨 紈
玙 璵
抟 摶
坞 塢
 
芸 蕓
苈 藶
苋 莧
苌 萇
苁 蓯
苎 苧
矶 磯
奁 奩
欤 歟
轫 軔
邺 鄴
呒 嘸
呓 囈
呖 嚦
旸 暘
呗 唄
帏 幃
岘 峴
岚 嵐
囵 圇
钊 釗
钋 釙
钌 釕
佥 僉
鸠 鳩
邹 鄒
饨 飩
饩 餼
饪 飪
饫 飫
饬 飭
庑 廡
疖 癤
闱 闈
闳 閎
闵 閔
炀 煬
沣 灃
沤 漚
沨 渢
沩 潙
怃 憮
怄 慪
忾 愾
怅 悵
怆 愴
诂 詁
诃 訶
诅 詛
诋 詆
诌 謅
诏 詔
诒 詒
陇 隴
陉 陘
妩 嫵
妪 嫗
妫 嬀
刭 剄
纭 紜
纰 紕
纴 紝
纶 綸
纾 紓
玮 瑋
匦 匭
垆 壚
 擓
茏 蘢
茑 蔦
茔 塋
茕 煢
枥 櫪
